f^(1): LTE = O(20)
=========================

f^(1): forward 0
-----------------------------------
(weights, stencil)
(weights, stencil)
-3.0297021206497676585560e-05, -6
6.0023758832068458812098e-04, -5
-5.9175484182440955122084e-03, -4
4.0120093213026127021426e-02, -3
-2.3026056311035145163224e-01, -2
1.6331690666761460306589e+00, -1
-2.8503959566332448538617e+00, 0
1.5480643183991134037569e+00, 1
-1.0597192286258366733520e-01, 2
-6.9103555818332454419028e-02, 3
6.1288820236008262343219e-02, 4
-2.8969841745106240243901e-02, 5
8.9545668449220062329319e-03, 6
-1.6876638490702147981509e-03, 7
1.3474542645392571901981e-04, 8
4.3087275315381165974229e-06, 9
2.0081117253437407506756e-06, 10
-7.2556831607064893755946e-07, 11
-1.3942770959248265829452e-07, 12
4.1944559587668855931033e-08, 13
9.9307714163797402817772e-11, 14
-----------------------------------
f^(2): forward 7
-----------------------------------
(weights, stencil)
7.8354339006305153618286e-06, -7
-1.6074805759210990035654e-04, -6
1.6195401183254759785307e-03, -5
-1.0879137590539413038560e-02, -4
5.6958032395685288806764e-02, -3
-2.7249468715086366810141e-01, -2
1.7142574981402880496262e+00, -1
-2.9717045380409015109535e+00, 0
1.6907698430547606349705e+00, 1
-2.3839518981048538059930e-01, 2
2.7283360596748879034479e-02, 3
7.1347314912940254863494e-03, 4
-6.1719458761172645358539e-03, 5
2.1586233582456446598863e-03, 6
-4.1755854100968366931015e-04, 7
3.3015802159465467270714e-05, 8
1.0459180507030640857593e-06, 9
4.6765583752883314218730e-07, 10
-1.6635711744271557343560e-07, 11
-2.9018766880813989184108e-08, 12
8.6992043422952729695110e-09, 13
-----------------------------------
f^(2): forward 8
-----------------------------------
(weights, stencil)
-2.4267665644041054907073e-06, -8
5.0717849869524780481028e-05, -7
-5.1778227415204096384382e-04, -6
3.4797686347874576782979e-03, -5
-1.7672158802678836903022e-02, -4
7.5407571789439548082257e-02, -3
-3.1108132646152947264895e-01, -2
1.7777248650285186748476e+00, -1
-3.0547684182203189706684e+00, 0
1.7776899210246015492487e+00, 1
-3.1102816244812220292104e-01, 2
7.5357324348628851318210e-02, 3
-1.7637540090060480069134e-02, 4
3.4617279413919179245629e-03, 5
-5.1069100507094200482733e-04, 6
4.8684729003044830276774e-05, 7
-2.0374227749132543998777e-06, 8
-3.6767834815732739372881e-08, 9
-2.3585144520738097568824e-09, 10
1.0671260374057328362195e-09, 11
-9.0576712763514705910638e-11, 12
-----------------------------------
f^(2): forward 9
-----------------------------------
(weights, stencil)
3.8406361727463000265348e-07, -9
-9.2255077307705186609064e-06, -8
1.0742888951169418968942e-04, -7
-8.1382867741666730428823e-04, -6
4.5629602827133089459899e-03, -5
-2.0619724068652596493667e-02, -4
8.1583281913339675273100e-02, -3
-3.2125314941044713634710e-01, -2
1.7910482405807399697295e+00, -1
-3.0687065736115197722711e+00, 0
1.7893057979894435582935e+00, 1
-3.1865760884129612495741e-01, 2
7.9217271716325768360356e-02, 3
-1.9073451805075861825722e-02, 4
3.8131249784524017670817e-03, 5
-5.4583280636338524487855e-04, 6
3.9567896273440328130337e-05, 7
1.8301335311621520047457e-06, 8
-4.7334110500546327009663e-07, 9
-2.8512788999691224254140e-08, 10
8.0154088651078117674863e-09, 11
-----------------------------------
f^(2): central 0
-----------------------------------
(weights, stencil)
6.4896636736368349265539e-08, -10
-7.2741770242917524941147e-07, -9
-4.2970842715834271056410e-07, -8
6.5177627139031423550257e-05, -7
-6.7870530391123291835687e-04, -6
4.2717218914307721056023e-03, -5
-2.0241321357828578886284e-02, -4
8.1518097977331185899352e-02, -3
-3.2225558505964052580239e-01, -2
1.7938367957166707622463e+00, -1
-3.0733348867135532600514e+00, 0
1.7948894239401422812108e+00, 1
-3.2383452754268782225466e-01, 2
8.2975583500979666062847e-02, 3
-2.1212978422120470911594e-02, 4
4.7575504361048858575911e-03, 5
-8.6089101085737361560707e-04, 6
1.1518939028987304972699e-04, 7
-9.9557586090757159869458e-06, 8
4.0066719230097069029859e-07, 9
2.2252535046593928150021e-09, 10
-----------------------------------
f^(2): backward 9
-----------------------------------
(weights, stencil)
-1.0545889395997049761079e-09, -11
7.9704563019384892640033e-08, -10
-8.0617114848762951627648e-07, -9
-3.4429565625877258639204e-07, -8
6.6537715376149218207344e-05, -7
-6.8886744114207980500819e-04, -6
4.3125397477049342079281e-03, -5
-2.0355938363360717019424e-02, -4
8.1762257716090733228320e-02, -3
-3.2266552808169168820029e-01, -2
1.7943906245358971496273e+00, -1
-3.0739437960495550328233e+00, 0
1.7954370793773781755931e+00, 1
-3.2423759506839017197066e-01, 2
8.3217327034411189834451e-02, 3
-2.1330072242944066174264e-02, 4
4.8026724002069145005867e-03, 5
-8.7440291245892854538058e-04, 6
1.1821982739938087611942e-04, 7
-1.0434578335245567434937e-05, 8
4.4817627041926214729087e-07, 9
-----------------------------------
f^(2): backward 8
-----------------------------------
(weights, stencil)
-9.1458804894107506217734e-11, -12
4.7032013831222014916820e-10, -11
4.2095309126176049427874e-09, -10
-5.1933263334434495369941e-08, -9
-2.2019424840511209731035e-06, -8
5.0346911822538571268208e-05, -7
-5.1869325515652034506303e-04, -6
3.4874408855535346529742e-03, -5
-1.7698373368587524967488e-02, -4
7.5468196919788024801257e-02, -3
-3.1118764483254618413710e-01, -2
1.7778733491379710152103e+00, -1
-3.0549380847787803716642e+00, 0
1.7778510627749579686707e+00, 1
-3.1115634229715316561027e-01, 2
7.5442748642316440066402e-02, 3
-1.7684892446731256820946e-02, 4
3.4832039664151903148037e-03, 5
-5.1843295961910595189698e-04, 6
5.0795086891902111337488e-05, 7
-2.4310915916015098536156e-06, 8
-----------------------------------
f^(2): backward 7
-----------------------------------
(weights, stencil)
6.3883497460485802295962e-09, -13
-2.1202818137613495197122e-08, -12
-3.2932590820067973817776e-08, -11
-6.3612274613476735211605e-07, -10
3.0186219074935226313065e-06, -9
4.8224885702013343014450e-05, -8
